user,t,item,feat_0,feat_1
5416,0,1798,306,0
5416,0,1798,306,0
5416,0,1798,306,0
5416,1,4282,1012,1
5416,2,6731,2170,32
5416,3,6408,3928,38
5416,3,6408,3928,38
5416,3,6408,3928,38
5416,4,1937,4488,32
5416,4,1937,4488,32
5416,5,6072,3728,32
5416,5,6072,3728,32
5416,5,6072,3728,32
5416,5,6072,3728,32
5416,5,6072,3728,32
5416,5,6072,3728,32
5416,5,5166,3728,32
5416,5,5166,3728,32
5416,5,5166,3728,32
5416,5,5166,3728,32
5416,5,6072,3728,32
5416,5,5166,3728,32
5416,5,6072,3728,32
5416,6,8094,2788,38
6423,0,3126,2478,59
6423,0,3126,2478,59
6423,0,4694,2478,59
6423,0,4694,2478,59
6423,0,4694,2478,59
6423,0,4694,2478,59
6423,0,4694,2478,59
6423,0,123,3362,18
6423,1,7908,3940,51
6423,2,6874,4534,20
6423,2,3082,4534,20
6423,3,5594,3272,45
6423,4,5594,3272,45
6423,5,5594,3272,45
6423,6,328,2262,20
6423,6,9207,2262,20
6423,6,8288,2262,20
6423,7,7908,3940,51
6423,8,1748,3863,0
8648,0,7612,3649,17
3173,0,6900,68,57
3173,0,6900,68,57
3173,1,7612,3649,17
3173,2,7341,862,42
3173,2,7341,862,42
3173,3,7612,3649,17
3173,4,4801,938,64
3173,4,4801,938,64
3173,4,8001,4788,9
3173,4,8863,938,64
3173,5,7612,3649,17
3173,5,7751,2927,57
3173,5,7751,2927,57
3173,6,4577,2293,20
3173,6,4347,2293,20
3173,7,4347,2293,20
3173,7,9537,2293,20
3173,8,5819,2293,20
3173,9,616,3957,58
3173,10,1356,1915,65
6803,0,8144,269,14
6803,0,7612,3649,17
6803,1,3521,3904,58
6803,2,2142,3785,47
6803,2,5936,3785,47
6803,3,7612,3649,17
6803,4,7612,3649,17
6803,5,1340,298,23
6803,5,1340,298,23
3422,0,3435,4551,15
3422,1,3454,3445,42
3422,2,9177,509,55
3422,2,2886,509,55
3422,2,2886,509,55
3422,2,2886,509,55
3422,3,5765,3772,62
3422,4,3519,199,65
3422,5,2839,643,64
3422,6,303,3918,15
3422,7,9544,647,32
3422,8,2904,1704,58
3422,8,2904,1704,58
3422,9,8302,3788,58
3422,9,8302,3788,58
3422,10,7612,3649,17
3422,11,4499,839,27
3422,12,303,3918,15
3422,13,6371,3872,15
3422,14,1805,3746,35
1542,0,503,3961,57
1542,0,503,3961,57
1542,0,234,3961,57
1542,0,234,3961,57
1542,0,234,3961,57
1542,1,2692,1722,65
1542,2,3002,3961,57
1542,3,3002,3961,57
1542,3,3002,3961,57
1542,4,4414,1150,57
1542,5,2131,3448,59
1542,5,349,1992,65
1542,6,720,3235,12
8615,0,3885,569,44
8615,1,6841,2359,44
8615,2,9635,4365,23
8615,2,6429,2437,10
8615,3,1645,3446,20
8615,3,1976,3804,64
8615,4,3941,2534,44
